Country,Type,Year,TWh,Popn,MWhPerCap,inc,Max,MaxYear,MaxPop,totalMWhPerCap,cleanMWhPerCap
Philippines,Hydro,1981,3.7,49052803,0.07542892095279448,NA,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
Philippines,Hydro,1982,3.8,50305858,0.07553792244235255,NA,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
Philippines,Hydro,1983,4,51571187,0.07756269018977592,NA,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
Philippines,Hydro,1984,5.3,52868182,0.10024933333247586,NA,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
Philippines,Hydro,1985,5.6,54161737,0.10339402519531454,NA,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
Philippines,Hydro,1986,6,55463584,0.10817908918399503,NA,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
Philippines,Hydro,1987,5.2,56756093,0.09162011909452612,NA,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
Philippines,Hydro,1988,6.3,58074256,0.10848180302129053,NA,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
Philippines,Hydro,1989,6.5,59437589,0.10935840617626667,NA,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
Philippines,Hydro,1990,6.1,60817097,0.10030074273357703,0.04537387558846233,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
Philippines,Hydro,1991,5.1,62300699,0.08186103979347006,0.016615793632011003,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
Philippines,Hydro,1992,4.4,63778802,0.0689884391368781,0.021297731092239147,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
Philippines,Hydro,1993,5,65308248,0.07656000816313431,0.014694272805571791,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
Philippines,Hydro,1994,5.9,66858393,0.08824621315681339,0.025910349933218682,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
Philippines,Hydro,1995,6.2,68442173,0.09058742188095051,0.017344653997410364,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
Philippines,Hydro,1996,7,70058763,0.09991612326926183,0.024487202316467352,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
Philippines,Hydro,1997,6.1,71831175,0.08492134508449847,0.009383422642145922,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
Philippines,Hydro,1998,5.1,73606500,0.06928735913268529,-0.008275331057090635,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
Philippines,Hydro,1999,7.8,75377337,0.10347937868911447,0.0032300453566386084,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
Philippines,Hydro,2000,7.8,77120792,0.10114004015933863,-0.0022539850359759167,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
Philippines,Hydro,2001,7.1,78795655,0.0901064912779772,-0.01807259790601784,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
Philippines,Hydro,2002,7,80456517,0.08700351768893998,-0.004616601405586146,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
Philippines,Hydro,2003,7.9,82114628,0.09620697544900282,-0.012274827572287705,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
Philippines,Hydro,2004,8.6,83771045,0.10266077019810366,-0.006697635978163016,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
Philippines,Hydro,2005,8.4,85443957,0.09831005368817365,-0.0019906890454033793,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
Philippines,Hydro,2006,9.9,87078544,0.11369046317540633,0.03182942338193627,0.04537387558846233,1990,60817097,0.9976774000359513,0.11337243182226718
