Year,name,value,reactor
2008,Electricity Supplied (GWh),2876.3,NOVOVORONEZH-4
2009,Reference Unit Power (MWe),385,NOVOVORONEZH-4
2009,Annual Time Online (Hours),7580,NOVOVORONEZH-4
2009,Electricity Supplied (GWh),2931.78,NOVOVORONEZH-4
2010,Reference Unit Power (MWe),385,NOVOVORONEZH-4
2010,Annual Time Online (Hours),7727,NOVOVORONEZH-4
2010,Electricity Supplied (GWh),2928.7,NOVOVORONEZH-4
2011,Reference Unit Power (MWe),385,NOVOVORONEZH-4
2011,Annual Time Online (Hours),7263,NOVOVORONEZH-4
2011,Electricity Supplied (GWh),2707.55,NOVOVORONEZH-4
2012,Reference Unit Power (MWe),385,NOVOVORONEZH-4
2012,Annual Time Online (Hours),7707,NOVOVORONEZH-4
2012,Electricity Supplied (GWh),2944.86,NOVOVORONEZH-4
2013,Reference Unit Power (MWe),385,NOVOVORONEZH-4
2013,Annual Time Online (Hours),7929,NOVOVORONEZH-4
2013,Electricity Supplied (GWh),3038.98,NOVOVORONEZH-4
2014,Reference Unit Power (MWe),385,NOVOVORONEZH-4
2014,Annual Time Online (Hours),7932,NOVOVORONEZH-4
2014,Electricity Supplied (GWh),3061.07,NOVOVORONEZH-4
2015,Reference Unit Power (MWe),385,NOVOVORONEZH-4
2015,Annual Time Online (Hours),7085,NOVOVORONEZH-4
2015,Electricity Supplied (GWh),2704.38,NOVOVORONEZH-4
2016,Reference Unit Power (MWe),385,NOVOVORONEZH-4
2016,Annual Time Online (Hours),7783,NOVOVORONEZH-4
2016,Electricity Supplied (GWh),2959.49,NOVOVORONEZH-4
2017,Reference Unit Power (MWe),385,NOVOVORONEZH-4
2017,Annual Time Online (Hours),8259,NOVOVORONEZH-4
2017,Electricity Supplied (GWh),3148.86,NOVOVORONEZH-4
2018,Reference Unit Power (MWe),385,NOVOVORONEZH-4
2018,Annual Time Online (Hours),73,NOVOVORONEZH-4
2018,Electricity Supplied (GWh),8.92,NOVOVORONEZH-4
2019,Reference Unit Power (MWe),385,NOVOVORONEZH-4
2019,Annual Time Online (Hours),7654,NOVOVORONEZH-4
2019,Electricity Supplied (GWh),2994.94,NOVOVORONEZH-4
2020,Reference Unit Power (MWe),385,NOVOVORONEZH-4
2020,Annual Time Online (Hours),7956,NOVOVORONEZH-4
2020,Electricity Supplied (GWh),2945.24,NOVOVORONEZH-4
2021,Reference Unit Power (MWe),385,NOVOVORONEZH-4
2021,Annual Time Online (Hours),7951,NOVOVORONEZH-4
2021,Electricity Supplied (GWh),3020.99,NOVOVORONEZH-4
2022,Reference Unit Power (MWe),385,NOVOVORONEZH-4
2022,Annual Time Online (Hours),5716,NOVOVORONEZH-4
2022,Electricity Supplied (GWh),2199.85,NOVOVORONEZH-4
2023,Reference Unit Power (MWe),385,NOVOVORONEZH-4
2023,Annual Time Online (Hours),8001,NOVOVORONEZH-4
2023,Electricity Supplied (GWh),3055.96,NOVOVORONEZH-4
1980,Reference Unit Power (MWe),950,NOVOVORONEZH-5
1980,Annual Time Online (Hours),3210,NOVOVORONEZH-5
1980,Electricity Supplied (GWh),973.69,NOVOVORONEZH-5
1981,Reference Unit Power (MWe),950,NOVOVORONEZH-5
1981,Annual Time Online (Hours),6929,NOVOVORONEZH-5
1981,Electricity Supplied (GWh),4639.79,NOVOVORONEZH-5
1982,Reference Unit Power (MWe),950,NOVOVORONEZH-5
1982,Annual Time Online (Hours),6631,NOVOVORONEZH-5
1982,Electricity Supplied (GWh),5042.84,NOVOVORONEZH-5
1983,Reference Unit Power (MWe),950,NOVOVORONEZH-5
1983,Annual Time Online (Hours),7716,NOVOVORONEZH-5
1983,Electricity Supplied (GWh),6607.53,NOVOVORONEZH-5
1984,Reference Unit Power (MWe),950,NOVOVORONEZH-5
1984,Annual Time Online (Hours),7742,NOVOVORONEZH-5
1984,Electricity Supplied (GWh),6979.64,NOVOVORONEZH-5
1985,Reference Unit Power (MWe),950,NOVOVORONEZH-5
1985,Annual Time Online (Hours),7979,NOVOVORONEZH-5
1985,Electricity Supplied (GWh),6894.29,NOVOVORONEZH-5
1986,Reference Unit Power (MWe),950,NOVOVORONEZH-5
1986,Annual Time Online (Hours),6806,NOVOVORONEZH-5
1986,Electricity Supplied (GWh),5523.75,NOVOVORONEZH-5
1987,Reference Unit Power (MWe),1000,NOVOVORONEZH-5
1987,Annual Time Online (Hours),7399,NOVOVORONEZH-5
1987,Electricity Supplied (GWh),7052.7,NOVOVORONEZH-5
1988,Reference Unit Power (MWe),950,NOVOVORONEZH-5
1988,Annual Time Online (Hours),3439,NOVOVORONEZH-5
1988,Electricity Supplied (GWh),3017.85,NOVOVORONEZH-5
1989,Reference Unit Power (MWe),950,NOVOVORONEZH-5
1989,Annual Time Online (Hours),3778,NOVOVORONEZH-5
1989,Electricity Supplied (GWh),3308.95,NOVOVORONEZH-5
1990,Reference Unit Power (MWe),950,NOVOVORONEZH-5
1990,Annual Time Online (Hours),4715,NOVOVORONEZH-5
1990,Electricity Supplied (GWh),3913.28,NOVOVORONEZH-5
1991,Reference Unit Power (MWe),950,NOVOVORONEZH-5
1991,Annual Time Online (Hours),6996,NOVOVORONEZH-5
1991,Electricity Supplied (GWh),5878.22,NOVOVORONEZH-5
1992,Reference Unit Power (MWe),950,NOVOVORONEZH-5
1992,Annual Time Online (Hours),5244,NOVOVORONEZH-5
1992,Electricity Supplied (GWh),3752.83,NOVOVORONEZH-5
1993,Reference Unit Power (MWe),950,NOVOVORONEZH-5
1993,Annual Time Online (Hours),7448,NOVOVORONEZH-5
1993,Electricity Supplied (GWh),5935.41,NOVOVORONEZH-5
1994,Reference Unit Power (MWe),950,NOVOVORONEZH-5
1994,Annual Time Online (Hours),4288,NOVOVORONEZH-5
1994,Electricity Supplied (GWh),2281.89,NOVOVORONEZH-5
1995,Reference Unit Power (MWe),950,NOVOVORONEZH-5
1995,Annual Time Online (Hours),6670,NOVOVORONEZH-5
1995,Electricity Supplied (GWh),4753.72,NOVOVORONEZH-5
1996,Reference Unit Power (MWe),950,NOVOVORONEZH-5
1996,Annual Time Online (Hours),4759,NOVOVORONEZH-5
1996,Electricity Supplied (GWh),3861.84,NOVOVORONEZH-5
1997,Reference Unit Power (MWe),950,NOVOVORONEZH-5
1997,Annual Time Online (Hours),6854,NOVOVORONEZH-5
1997,Electricity Supplied (GWh),5949.25,NOVOVORONEZH-5
1998,Reference Unit Power (MWe),950,NOVOVORONEZH-5
1998,Annual Time Online (Hours),4457,NOVOVORONEZH-5
1998,Electricity Supplied (GWh),3771.78,NOVOVORONEZH-5
1999,Reference Unit Power (MWe),950,NOVOVORONEZH-5
1999,Annual Time Online (Hours),6062,NOVOVORONEZH-5
1999,Electricity Supplied (GWh),4845.42,NOVOVORONEZH-5
2000,Reference Unit Power (MWe),950,NOVOVORONEZH-5
2000,Annual Time Online (Hours),6479,NOVOVORONEZH-5
2000,Electricity Supplied (GWh),5278.64,NOVOVORONEZH-5
2001,Reference Unit Power (MWe),950,NOVOVORONEZH-5
2001,Annual Time Online (Hours),7508,NOVOVORONEZH-5
2001,Electricity Supplied (GWh),5984.59,NOVOVORONEZH-5
2002,Reference Unit Power (MWe),950,NOVOVORONEZH-5
2002,Annual Time Online (Hours),7430,NOVOVORONEZH-5
2002,Electricity Supplied (GWh),6762.21,NOVOVORONEZH-5
2003,Reference Unit Power (MWe),950,NOVOVORONEZH-5
2003,Annual Time Online (Hours),7507,NOVOVORONEZH-5
2003,Electricity Supplied (GWh),6951.21,NOVOVORONEZH-5
2004,Reference Unit Power (MWe),950,NOVOVORONEZH-5
2004,Annual Time Online (Hours),4032,NOVOVORONEZH-5
2004,Electricity Supplied (GWh),3610.61,NOVOVORONEZH-5
2005,Reference Unit Power (MWe),950,NOVOVORONEZH-5
2005,Annual Time Online (Hours),2861,NOVOVORONEZH-5
2005,Electricity Supplied (GWh),2544.26,NOVOVORONEZH-5
2006,Reference Unit Power (MWe),950,NOVOVORONEZH-5
2006,Annual Time Online (Hours),7762,NOVOVORONEZH-5
2006,Electricity Supplied (GWh),7264.41,NOVOVORONEZH-5
2007,Reference Unit Power (MWe),950,NOVOVORONEZH-5
2007,Annual Time Online (Hours),7140,NOVOVORONEZH-5
2007,Electricity Supplied (GWh),6556.27,NOVOVORONEZH-5
2008,Reference Unit Power (MWe),950,NOVOVORONEZH-5
2008,Annual Time Online (Hours),7718,NOVOVORONEZH-5
2008,Electricity Supplied (GWh),7285.18,NOVOVORONEZH-5
2009,Reference Unit Power (MWe),950,NOVOVORONEZH-5
2009,Annual Time Online (Hours),6865,NOVOVORONEZH-5
2009,Electricity Supplied (GWh),6518.11,NOVOVORONEZH-5
2010,Reference Unit Power (MWe),950,NOVOVORONEZH-5
2010,Annual Time Online (Hours),6404,NOVOVORONEZH-5
2010,Electricity Supplied (GWh),5585.3,NOVOVORONEZH-5
2011,Reference Unit Power (MWe),950,NOVOVORONEZH-5
2011,Annual Time Online (Hours),2422,NOVOVORONEZH-5
2011,Electricity Supplied (GWh),2085.77,NOVOVORONEZH-5
2012,Reference Unit Power (MWe),950,NOVOVORONEZH-5
2012,Annual Time Online (Hours),7457,NOVOVORONEZH-5
2012,Electricity Supplied (GWh),7014.58,NOVOVORONEZH-5
2013,Reference Unit Power (MWe),950,NOVOVORONEZH-5
2013,Annual Time Online (Hours),7773,NOVOVORONEZH-5
2013,Electricity Supplied (GWh),7205.36,NOVOVORONEZH-5
2014,Reference Unit Power (MWe),950,NOVOVORONEZH-5
2014,Annual Time Online (Hours),7712,NOVOVORONEZH-5
2014,Electricity Supplied (GWh),6193.58,NOVOVORONEZH-5
2015,Reference Unit Power (MWe),950,NOVOVORONEZH-5
2015,Annual Time Online (Hours),7120,NOVOVORONEZH-5
2015,Electricity Supplied (GWh),6209.76,NOVOVORONEZH-5
2016,Reference Unit Power (MWe),950,NOVOVORONEZH-5
2016,Annual Time Online (Hours),7777,NOVOVORONEZH-5
2016,Electricity Supplied (GWh),7191.83,NOVOVORONEZH-5
2017,Reference Unit Power (MWe),950,NOVOVORONEZH-5
2017,Annual Time Online (Hours),7811,NOVOVORONEZH-5
2017,Electricity Supplied (GWh),6560.03,NOVOVORONEZH-5
2018,Reference Unit Power (MWe),950,NOVOVORONEZH-5
2018,Annual Time Online (Hours),7766,NOVOVORONEZH-5
2018,Electricity Supplied (GWh),7134.8,NOVOVORONEZH-5
2019,Reference Unit Power (MWe),950,NOVOVORONEZH-5
2019,Annual Time Online (Hours),6806,NOVOVORONEZH-5
2019,Electricity Supplied (GWh),6092.49,NOVOVORONEZH-5
2020,Reference Unit Power (MWe),950,NOVOVORONEZH-5
2020,Annual Time Online (Hours),7483,NOVOVORONEZH-5
2020,Electricity Supplied (GWh),6787.87,NOVOVORONEZH-5
2021,Reference Unit Power (MWe),950,NOVOVORONEZH-5
2021,Annual Time Online (Hours),7774,NOVOVORONEZH-5
2021,Electricity Supplied (GWh),7227.84,NOVOVORONEZH-5
2022,Reference Unit Power (MWe),950,NOVOVORONEZH-5
2022,Annual Time Online (Hours),7908,NOVOVORONEZH-5
2022,Electricity Supplied (GWh),7312.92,NOVOVORONEZH-5
2023,Reference Unit Power (MWe),950,NOVOVORONEZH-5
2023,Annual Time Online (Hours),7333,NOVOVORONEZH-5
2023,Electricity Supplied (GWh),6729.72,NOVOVORONEZH-5
1964,Reference Unit Power (MWe),NA,NOVOVORONEZH-1
1964,Annual Time Online (Hours),NA,NOVOVORONEZH-1
1964,Electricity Supplied (GWh),NA,NOVOVORONEZH-1
1965,Reference Unit Power (MWe),NA,NOVOVORONEZH-1
1965,Annual Time Online (Hours),NA,NOVOVORONEZH-1
1965,Electricity Supplied (GWh),NA,NOVOVORONEZH-1
1966,Reference Unit Power (MWe),NA,NOVOVORONEZH-1
1966,Annual Time Online (Hours),NA,NOVOVORONEZH-1
1966,Electricity Supplied (GWh),NA,NOVOVORONEZH-1
1967,Reference Unit Power (MWe),NA,NOVOVORONEZH-1
1967,Annual Time Online (Hours),NA,NOVOVORONEZH-1
1967,Electricity Supplied (GWh),NA,NOVOVORONEZH-1
1968,Reference Unit Power (MWe),NA,NOVOVORONEZH-1
1968,Annual Time Online (Hours),NA,NOVOVORONEZH-1
1968,Electricity Supplied (GWh),NA,NOVOVORONEZH-1
1969,Reference Unit Power (MWe),NA,NOVOVORONEZH-1
1969,Annual Time Online (Hours),NA,NOVOVORONEZH-1
1969,Electricity Supplied (GWh),NA,NOVOVORONEZH-1
1970,Reference Unit Power (MWe),NA,NOVOVORONEZH-1
1970,Annual Time Online (Hours),NA,NOVOVORONEZH-1
1970,Electricity Supplied (GWh),NA,NOVOVORONEZH-1
1971,Reference Unit Power (MWe),NA,NOVOVORONEZH-1
1971,Annual Time Online (Hours),NA,NOVOVORONEZH-1
1971,Electricity Supplied (GWh),NA,NOVOVORONEZH-1
1972,Reference Unit Power (MWe),NA,NOVOVORONEZH-1
1972,Annual Time Online (Hours),NA,NOVOVORONEZH-1
1972,Electricity Supplied (GWh),NA,NOVOVORONEZH-1
1973,Reference Unit Power (MWe),NA,NOVOVORONEZH-1
1973,Annual Time Online (Hours),NA,NOVOVORONEZH-1
1973,Electricity Supplied (GWh),NA,NOVOVORONEZH-1
1974,Reference Unit Power (MWe),NA,NOVOVORONEZH-1
1974,Annual Time Online (Hours),NA,NOVOVORONEZH-1
1974,Electricity Supplied (GWh),NA,NOVOVORONEZH-1
1975,Reference Unit Power (MWe),NA,NOVOVORONEZH-1
1975,Annual Time Online (Hours),NA,NOVOVORONEZH-1
1975,Electricity Supplied (GWh),NA,NOVOVORONEZH-1
1976,Reference Unit Power (MWe),NA,NOVOVORONEZH-1
1976,Annual Time Online (Hours),NA,NOVOVORONEZH-1
1976,Electricity Supplied (GWh),NA,NOVOVORONEZH-1
1977,Reference Unit Power (MWe),NA,NOVOVORONEZH-1
1977,Annual Time Online (Hours),NA,NOVOVORONEZH-1
1977,Electricity Supplied (GWh),NA,NOVOVORONEZH-1
1978,Reference Unit Power (MWe),NA,NOVOVORONEZH-1
1978,Annual Time Online (Hours),NA,NOVOVORONEZH-1
1978,Electricity Supplied (GWh),NA,NOVOVORONEZH-1
1979,Reference Unit Power (MWe),NA,NOVOVORONEZH-1
1979,Annual Time Online (Hours),NA,NOVOVORONEZH-1
1979,Electricity Supplied (GWh),NA,NOVOVORONEZH-1
1980,Reference Unit Power (MWe),NA,NOVOVORONEZH-1
1980,Annual Time Online (Hours),NA,NOVOVORONEZH-1
1980,Electricity Supplied (GWh),NA,NOVOVORONEZH-1
1981,Reference Unit Power (MWe),NA,NOVOVORONEZH-1
1981,Annual Time Online (Hours),NA,NOVOVORONEZH-1
1981,Electricity Supplied (GWh),NA,NOVOVORONEZH-1
1982,Reference Unit Power (MWe),NA,NOVOVORONEZH-1
1982,Annual Time Online (Hours),NA,NOVOVORONEZH-1
1982,Electricity Supplied (GWh),NA,NOVOVORONEZH-1
1983,Reference Unit Power (MWe),NA,NOVOVORONEZH-1
1983,Annual Time Online (Hours),NA,NOVOVORONEZH-1
1983,Electricity Supplied (GWh),NA,NOVOVORONEZH-1
1984,Reference Unit Power (MWe),NA,NOVOVORONEZH-1
1984,Annual Time Online (Hours),NA,NOVOVORONEZH-1
1984,Electricity Supplied (GWh),NA,NOVOVORONEZH-1
1985,Reference Unit Power (MWe),NA,NOVOVORONEZH-1
1985,Annual Time Online (Hours),NA,NOVOVORONEZH-1
1985,Electricity Supplied (GWh),NA,NOVOVORONEZH-1
1986,Reference Unit Power (MWe),NA,NOVOVORONEZH-1
1986,Annual Time Online (Hours),NA,NOVOVORONEZH-1
1986,Electricity Supplied (GWh),NA,NOVOVORONEZH-1
1987,Reference Unit Power (MWe),NA,NOVOVORONEZH-1
1987,Annual Time Online (Hours),NA,NOVOVORONEZH-1
1987,Electricity Supplied (GWh),NA,NOVOVORONEZH-1
1988,Reference Unit Power (MWe),NA,NOVOVORONEZH-1
1988,Annual Time Online (Hours),NA,NOVOVORONEZH-1
1988,Electricity Supplied (GWh),NA,NOVOVORONEZH-1
1969,Reference Unit Power (MWe),NA,NOVOVORONEZH-2
1969,Annual Time Online (Hours),NA,NOVOVORONEZH-2
1969,Electricity Supplied (GWh),NA,NOVOVORONEZH-2
1970,Reference Unit Power (MWe),NA,NOVOVORONEZH-2
1970,Annual Time Online (Hours),NA,NOVOVORONEZH-2
1970,Electricity Supplied (GWh),NA,NOVOVORONEZH-2
1971,Reference Unit Power (MWe),NA,NOVOVORONEZH-2
1971,Annual Time Online (Hours),NA,NOVOVORONEZH-2
1971,Electricity Supplied (GWh),NA,NOVOVORONEZH-2
1972,Reference Unit Power (MWe),NA,NOVOVORONEZH-2
1972,Annual Time Online (Hours),NA,NOVOVORONEZH-2
1972,Electricity Supplied (GWh),NA,NOVOVORONEZH-2
1973,Reference Unit Power (MWe),NA,NOVOVORONEZH-2
1973,Annual Time Online (Hours),NA,NOVOVORONEZH-2
1973,Electricity Supplied (GWh),NA,NOVOVORONEZH-2
1974,Reference Unit Power (MWe),NA,NOVOVORONEZH-2
1974,Annual Time Online (Hours),NA,NOVOVORONEZH-2
1974,Electricity Supplied (GWh),NA,NOVOVORONEZH-2
1975,Reference Unit Power (MWe),NA,NOVOVORONEZH-2
1975,Annual Time Online (Hours),NA,NOVOVORONEZH-2
1975,Electricity Supplied (GWh),NA,NOVOVORONEZH-2
1976,Reference Unit Power (MWe),NA,NOVOVORONEZH-2
1976,Annual Time Online (Hours),NA,NOVOVORONEZH-2
1976,Electricity Supplied (GWh),NA,NOVOVORONEZH-2
1977,Reference Unit Power (MWe),NA,NOVOVORONEZH-2
1977,Annual Time Online (Hours),NA,NOVOVORONEZH-2
1977,Electricity Supplied (GWh),NA,NOVOVORONEZH-2
1978,Reference Unit Power (MWe),NA,NOVOVORONEZH-2
1978,Annual Time Online (Hours),NA,NOVOVORONEZH-2
1978,Electricity Supplied (GWh),NA,NOVOVORONEZH-2
1979,Reference Unit Power (MWe),NA,NOVOVORONEZH-2
1979,Annual Time Online (Hours),NA,NOVOVORONEZH-2
1979,Electricity Supplied (GWh),NA,NOVOVORONEZH-2
1980,Reference Unit Power (MWe),NA,NOVOVORONEZH-2
1980,Annual Time Online (Hours),NA,NOVOVORONEZH-2
1980,Electricity Supplied (GWh),NA,NOVOVORONEZH-2
1981,Reference Unit Power (MWe),NA,NOVOVORONEZH-2
1981,Annual Time Online (Hours),NA,NOVOVORONEZH-2
1981,Electricity Supplied (GWh),NA,NOVOVORONEZH-2
1982,Reference Unit Power (MWe),NA,NOVOVORONEZH-2
1982,Annual Time Online (Hours),NA,NOVOVORONEZH-2
1982,Electricity Supplied (GWh),NA,NOVOVORONEZH-2
1983,Reference Unit Power (MWe),NA,NOVOVORONEZH-2
1983,Annual Time Online (Hours),NA,NOVOVORONEZH-2
1983,Electricity Supplied (GWh),NA,NOVOVORONEZH-2
1984,Reference Unit Power (MWe),NA,NOVOVORONEZH-2
1984,Annual Time Online (Hours),NA,NOVOVORONEZH-2
1984,Electricity Supplied (GWh),NA,NOVOVORONEZH-2
1985,Reference Unit Power (MWe),NA,NOVOVORONEZH-2
1985,Annual Time Online (Hours),NA,NOVOVORONEZH-2
1985,Electricity Supplied (GWh),NA,NOVOVORONEZH-2
1986,Reference Unit Power (MWe),NA,NOVOVORONEZH-2
1986,Annual Time Online (Hours),NA,NOVOVORONEZH-2
1986,Electricity Supplied (GWh),NA,NOVOVORONEZH-2
1987,Reference Unit Power (MWe),365,NOVOVORONEZH-2
1987,Annual Time Online (Hours),7167,NOVOVORONEZH-2
1987,Electricity Supplied (GWh),2370.16,NOVOVORONEZH-2
1988,Reference Unit Power (MWe),336,NOVOVORONEZH-2
1988,Annual Time Online (Hours),6897,NOVOVORONEZH-2
1988,Electricity Supplied (GWh),1998.64,NOVOVORONEZH-2
1989,Reference Unit Power (MWe),336,NOVOVORONEZH-2
1989,Annual Time Online (Hours),8157,NOVOVORONEZH-2
1989,Electricity Supplied (GWh),2252.87,NOVOVORONEZH-2
1990,Reference Unit Power (MWe),336,NOVOVORONEZH-2
1990,Annual Time Online (Hours),550,NOVOVORONEZH-2
1990,Electricity Supplied (GWh),123.78,NOVOVORONEZH-2
1971,Reference Unit Power (MWe),385,NOVOVORONEZH-3
1971,Annual Time Online (Hours),87,NOVOVORONEZH-3
1971,Electricity Supplied (GWh),1,NOVOVORONEZH-3
1972,Reference Unit Power (MWe),385,NOVOVORONEZH-3
1972,Annual Time Online (Hours),7121,NOVOVORONEZH-3
1972,Electricity Supplied (GWh),1705.19,NOVOVORONEZH-3
1973,Reference Unit Power (MWe),385,NOVOVORONEZH-3
1973,Annual Time Online (Hours),7114,NOVOVORONEZH-3
1973,Electricity Supplied (GWh),1877.19,NOVOVORONEZH-3
1974,Reference Unit Power (MWe),385,NOVOVORONEZH-3
1974,Annual Time Online (Hours),7990,NOVOVORONEZH-3
1974,Electricity Supplied (GWh),2629.98,NOVOVORONEZH-3
1975,Reference Unit Power (MWe),385,NOVOVORONEZH-3
1975,Annual Time Online (Hours),6695,NOVOVORONEZH-3
1975,Electricity Supplied (GWh),1967.94,NOVOVORONEZH-3
1976,Reference Unit Power (MWe),385,NOVOVORONEZH-3
1976,Annual Time Online (Hours),7534,NOVOVORONEZH-3
1976,Electricity Supplied (GWh),2221.44,NOVOVORONEZH-3
1977,Reference Unit Power (MWe),385,NOVOVORONEZH-3
1977,Annual Time Online (Hours),7851,NOVOVORONEZH-3
1977,Electricity Supplied (GWh),2786.27,NOVOVORONEZH-3
1978,Reference Unit Power (MWe),385,NOVOVORONEZH-3
1978,Annual Time Online (Hours),7962,NOVOVORONEZH-3
1978,Electricity Supplied (GWh),2903.78,NOVOVORONEZH-3
1979,Reference Unit Power (MWe),385,NOVOVORONEZH-3
1979,Annual Time Online (Hours),7477,NOVOVORONEZH-3
1979,Electricity Supplied (GWh),2632.9,NOVOVORONEZH-3
1980,Reference Unit Power (MWe),385,NOVOVORONEZH-3
1980,Annual Time Online (Hours),8246,NOVOVORONEZH-3
1980,Electricity Supplied (GWh),2844.59,NOVOVORONEZH-3
1981,Reference Unit Power (MWe),385,NOVOVORONEZH-3
1981,Annual Time Online (Hours),7934,NOVOVORONEZH-3
1981,Electricity Supplied (GWh),2827.19,NOVOVORONEZH-3
1982,Reference Unit Power (MWe),385,NOVOVORONEZH-3
1982,Annual Time Online (Hours),8037,NOVOVORONEZH-3
1982,Electricity Supplied (GWh),2770.46,NOVOVORONEZH-3
1983,Reference Unit Power (MWe),385,NOVOVORONEZH-3
1983,Annual Time Online (Hours),7158,NOVOVORONEZH-3
1983,Electricity Supplied (GWh),2470.04,NOVOVORONEZH-3
1984,Reference Unit Power (MWe),385,NOVOVORONEZH-3
1984,Annual Time Online (Hours),8185,NOVOVORONEZH-3
1984,Electricity Supplied (GWh),3056.46,NOVOVORONEZH-3
1985,Reference Unit Power (MWe),385,NOVOVORONEZH-3
1985,Annual Time Online (Hours),8195,NOVOVORONEZH-3
1985,Electricity Supplied (GWh),3003.82,NOVOVORONEZH-3
1986,Reference Unit Power (MWe),385,NOVOVORONEZH-3
1986,Annual Time Online (Hours),8048,NOVOVORONEZH-3
1986,Electricity Supplied (GWh),2705.54,NOVOVORONEZH-3
1987,Reference Unit Power (MWe),417,NOVOVORONEZH-3
1987,Annual Time Online (Hours),6361,NOVOVORONEZH-3
1987,Electricity Supplied (GWh),2321.9,NOVOVORONEZH-3
1988,Reference Unit Power (MWe),385,NOVOVORONEZH-3
1988,Annual Time Online (Hours),8110,NOVOVORONEZH-3
1988,Electricity Supplied (GWh),2906.14,NOVOVORONEZH-3
1989,Reference Unit Power (MWe),385,NOVOVORONEZH-3
1989,Annual Time Online (Hours),6040,NOVOVORONEZH-3
1989,Electricity Supplied (GWh),1984.57,NOVOVORONEZH-3
1990,Reference Unit Power (MWe),385,NOVOVORONEZH-3
1990,Annual Time Online (Hours),8611,NOVOVORONEZH-3
1990,Electricity Supplied (GWh),2767.44,NOVOVORONEZH-3
1991,Reference Unit Power (MWe),385,NOVOVORONEZH-3
1991,Annual Time Online (Hours),5176,NOVOVORONEZH-3
1991,Electricity Supplied (GWh),1614.01,NOVOVORONEZH-3
1992,Reference Unit Power (MWe),385,NOVOVORONEZH-3
1992,Annual Time Online (Hours),6991,NOVOVORONEZH-3
1992,Electricity Supplied (GWh),2580.38,NOVOVORONEZH-3
1993,Reference Unit Power (MWe),385,NOVOVORONEZH-3
1993,Annual Time Online (Hours),4991,NOVOVORONEZH-3
1993,Electricity Supplied (GWh),1810.48,NOVOVORONEZH-3
1994,Reference Unit Power (MWe),385,NOVOVORONEZH-3
1994,Annual Time Online (Hours),7300,NOVOVORONEZH-3
1994,Electricity Supplied (GWh),2714.59,NOVOVORONEZH-3
1995,Reference Unit Power (MWe),385,NOVOVORONEZH-3
1995,Annual Time Online (Hours),3945,NOVOVORONEZH-3
1995,Electricity Supplied (GWh),1364.01,NOVOVORONEZH-3
1996,Reference Unit Power (MWe),385,NOVOVORONEZH-3
1996,Annual Time Online (Hours),5510,NOVOVORONEZH-3
1996,Electricity Supplied (GWh),1946.95,NOVOVORONEZH-3
1997,Reference Unit Power (MWe),385,NOVOVORONEZH-3
1997,Annual Time Online (Hours),7075,NOVOVORONEZH-3
1997,Electricity Supplied (GWh),2624.03,NOVOVORONEZH-3
1998,Reference Unit Power (MWe),385,NOVOVORONEZH-3
1998,Annual Time Online (Hours),6822,NOVOVORONEZH-3
1998,Electricity Supplied (GWh),2535.6,NOVOVORONEZH-3
1999,Reference Unit Power (MWe),385,NOVOVORONEZH-3
1999,Annual Time Online (Hours),5669,NOVOVORONEZH-3
1999,Electricity Supplied (GWh),1919.28,NOVOVORONEZH-3
2000,Reference Unit Power (MWe),385,NOVOVORONEZH-3
2000,Annual Time Online (Hours),7131,NOVOVORONEZH-3
2000,Electricity Supplied (GWh),2621.49,NOVOVORONEZH-3
2001,Reference Unit Power (MWe),385,NOVOVORONEZH-3
2001,Annual Time Online (Hours),3529,NOVOVORONEZH-3
2001,Electricity Supplied (GWh),1293.38,NOVOVORONEZH-3
2002,Reference Unit Power (MWe),385,NOVOVORONEZH-3
2002,Annual Time Online (Hours),6415,NOVOVORONEZH-3
2002,Electricity Supplied (GWh),2431.89,NOVOVORONEZH-3
2003,Reference Unit Power (MWe),385,NOVOVORONEZH-3
2003,Annual Time Online (Hours),6236,NOVOVORONEZH-3
2003,Electricity Supplied (GWh),2335.05,NOVOVORONEZH-3
2004,Reference Unit Power (MWe),385,NOVOVORONEZH-3
2004,Annual Time Online (Hours),7282,NOVOVORONEZH-3
2004,Electricity Supplied (GWh),2313.63,NOVOVORONEZH-3
2005,Reference Unit Power (MWe),385,NOVOVORONEZH-3
2005,Annual Time Online (Hours),7233,NOVOVORONEZH-3
2005,Electricity Supplied (GWh),2472.06,NOVOVORONEZH-3
2006,Reference Unit Power (MWe),385,NOVOVORONEZH-3
2006,Annual Time Online (Hours),7621,NOVOVORONEZH-3
2006,Electricity Supplied (GWh),2684.04,NOVOVORONEZH-3
2007,Reference Unit Power (MWe),385,NOVOVORONEZH-3
2007,Annual Time Online (Hours),6153,NOVOVORONEZH-3
2007,Electricity Supplied (GWh),1713.46,NOVOVORONEZH-3
2008,Reference Unit Power (MWe),385,NOVOVORONEZH-3
2008,Annual Time Online (Hours),7584,NOVOVORONEZH-3
2008,Electricity Supplied (GWh),1866.62,NOVOVORONEZH-3
2009,Reference Unit Power (MWe),385,NOVOVORONEZH-3
2009,Annual Time Online (Hours),5295,NOVOVORONEZH-3
2009,Electricity Supplied (GWh),1835.47,NOVOVORONEZH-3
2010,Reference Unit Power (MWe),385,NOVOVORONEZH-3
2010,Annual Time Online (Hours),7746,NOVOVORONEZH-3
