Year,name,value,reactor
1993,Reference Unit Power (MWe),754,BRUNSWICK-2
1993,Annual Time Online (Hours),5525,BRUNSWICK-2
1993,Electricity Supplied (GWh),4000.88,BRUNSWICK-2
1994,Reference Unit Power (MWe),754,BRUNSWICK-2
1994,Annual Time Online (Hours),6436,BRUNSWICK-2
1994,Electricity Supplied (GWh),4823.21,BRUNSWICK-2
1995,Reference Unit Power (MWe),754,BRUNSWICK-2
1995,Annual Time Online (Hours),8760,BRUNSWICK-2
1995,Electricity Supplied (GWh),6215.96,BRUNSWICK-2
1996,Reference Unit Power (MWe),754,BRUNSWICK-2
1996,Annual Time Online (Hours),7277,BRUNSWICK-2
1996,Electricity Supplied (GWh),5188.12,BRUNSWICK-2
1997,Reference Unit Power (MWe),754,BRUNSWICK-2
1997,Annual Time Online (Hours),7816,BRUNSWICK-2
1997,Electricity Supplied (GWh),6055.38,BRUNSWICK-2
1998,Reference Unit Power (MWe),811,BRUNSWICK-2
1998,Annual Time Online (Hours),8539,BRUNSWICK-2
1998,Electricity Supplied (GWh),6963.48,BRUNSWICK-2
1999,Reference Unit Power (MWe),811,BRUNSWICK-2
1999,Annual Time Online (Hours),7577,BRUNSWICK-2
1999,Electricity Supplied (GWh),6095.17,BRUNSWICK-2
2000,Reference Unit Power (MWe),811,BRUNSWICK-2
2000,Annual Time Online (Hours),8616,BRUNSWICK-2
2000,Electricity Supplied (GWh),7055.01,BRUNSWICK-2
2001,Reference Unit Power (MWe),811,BRUNSWICK-2
2001,Annual Time Online (Hours),7996,BRUNSWICK-2
2001,Electricity Supplied (GWh),6540.43,BRUNSWICK-2
2002,Reference Unit Power (MWe),811,BRUNSWICK-2
2002,Annual Time Online (Hours),8609,BRUNSWICK-2
2002,Electricity Supplied (GWh),7078.62,BRUNSWICK-2
2003,Reference Unit Power (MWe),811,BRUNSWICK-2
2003,Annual Time Online (Hours),7966,BRUNSWICK-2
2003,Electricity Supplied (GWh),7028.09,BRUNSWICK-2
2004,Reference Unit Power (MWe),900,BRUNSWICK-2
2004,Annual Time Online (Hours),8639,BRUNSWICK-2
2004,Electricity Supplied (GWh),7756.76,BRUNSWICK-2
2005,Reference Unit Power (MWe),811,BRUNSWICK-2
2005,Annual Time Online (Hours),7724,BRUNSWICK-2
2005,Electricity Supplied (GWh),6781.7,BRUNSWICK-2
2006,Reference Unit Power (MWe),937,BRUNSWICK-2
2006,Annual Time Online (Hours),7972,BRUNSWICK-2
2006,Electricity Supplied (GWh),7361.27,BRUNSWICK-2
2007,Reference Unit Power (MWe),937,BRUNSWICK-2
2007,Annual Time Online (Hours),7645,BRUNSWICK-2
2007,Electricity Supplied (GWh),7140.26,BRUNSWICK-2
2008,Reference Unit Power (MWe),937,BRUNSWICK-2
2008,Annual Time Online (Hours),8448,BRUNSWICK-2
2008,Electricity Supplied (GWh),7854.24,BRUNSWICK-2
2009,Reference Unit Power (MWe),920,BRUNSWICK-2
2009,Annual Time Online (Hours),7060,BRUNSWICK-2
2009,Electricity Supplied (GWh),6410.2,BRUNSWICK-2
2010,Reference Unit Power (MWe),920,BRUNSWICK-2
2010,Annual Time Online (Hours),8639,BRUNSWICK-2
2010,Electricity Supplied (GWh),8000.04,BRUNSWICK-2
2011,Reference Unit Power (MWe),920,BRUNSWICK-2
2011,Annual Time Online (Hours),6995,BRUNSWICK-2
2011,Electricity Supplied (GWh),6336.69,BRUNSWICK-2
2012,Reference Unit Power (MWe),920,BRUNSWICK-2
2012,Annual Time Online (Hours),8704,BRUNSWICK-2
2012,Electricity Supplied (GWh),7987.81,BRUNSWICK-2
2013,Reference Unit Power (MWe),920,BRUNSWICK-2
2013,Annual Time Online (Hours),7059,BRUNSWICK-2
2013,Electricity Supplied (GWh),6385.33,BRUNSWICK-2
2014,Reference Unit Power (MWe),920,BRUNSWICK-2
2014,Annual Time Online (Hours),8715,BRUNSWICK-2
2014,Electricity Supplied (GWh),7987.55,BRUNSWICK-2
2015,Reference Unit Power (MWe),920,BRUNSWICK-2
2015,Annual Time Online (Hours),7704,BRUNSWICK-2
2015,Electricity Supplied (GWh),7098.43,BRUNSWICK-2
2016,Reference Unit Power (MWe),920,BRUNSWICK-2
2016,Annual Time Online (Hours),8784,BRUNSWICK-2
2016,Electricity Supplied (GWh),8075.19,BRUNSWICK-2
2017,Reference Unit Power (MWe),920,BRUNSWICK-2
2017,Annual Time Online (Hours),8010,BRUNSWICK-2
2017,Electricity Supplied (GWh),7191.04,BRUNSWICK-2
2018,Reference Unit Power (MWe),932,BRUNSWICK-2
2018,Annual Time Online (Hours),8453,BRUNSWICK-2
2018,Electricity Supplied (GWh),7532.9,BRUNSWICK-2
2019,Reference Unit Power (MWe),932,BRUNSWICK-2
2019,Annual Time Online (Hours),7689,BRUNSWICK-2
2019,Electricity Supplied (GWh),6972.51,BRUNSWICK-2
2020,Reference Unit Power (MWe),932,BRUNSWICK-2
2020,Annual Time Online (Hours),8740,BRUNSWICK-2
2020,Electricity Supplied (GWh),8088.45,BRUNSWICK-2
2021,Reference Unit Power (MWe),932,BRUNSWICK-2
