Country,Year,Type,TWh,Popn,MWhPerCap
Russian Federation,1993,Gas,429.16816716360734,145957604.03853172,2.9403618262348985
Russian Federation,1993,Coal,148.39155109892516,145957604.03853172,1.0166757126250914
Russian Federation,1993,Oil,82.88559580699697,145957604.03853172,0.5678744615807464
Russian Federation,1993,Solar,0,145957604.03853172,0
Russian Federation,1993,Wind,0,145957604.03853172,0
Russian Federation,1993,Hydro,174.28900000000002,145957604.03853172,1.194107022707697
Russian Federation,1993,Nuclear,119.186,145957604.03853172,0.8165795868267047
Russian Federation,1993,Biomass/Geo,0.06,145957604.03853172,4.1107827437452624e-4
Russian Federation,1993,SolarPlusWind,0,145957604.03853172,0
Russian Federation,1993,SolarPlusWindPlusBio,0.06,145957604.03853172,4.1107827437452624e-4
Russian Federation,1994,Gas,363.74231404167955,146187442.29052314,2.48819124503733
Russian Federation,1994,Coal,162.4847328403281,146187442.29052314,1.1114821512330506
Russian Federation,1994,Oil,73.27043955868723,146187442.29052314,0.5012088481107322
Russian Federation,1994,Solar,0,146187442.29052314,0
Russian Federation,1994,Wind,0,146187442.29052314,0
Russian Federation,1994,Hydro,175.92600000000002,146187442.29052314,1.2034275806698669
Russian Federation,1994,Nuclear,97.82000000000001,146187442.29052314,0.6691409225533823
Russian Federation,1994,Biomass/Geo,0.061,146187442.29052314,4.1727250333016075e-4
Russian Federation,1994,SolarPlusWind,0,146187442.29052314,0
Russian Federation,1994,SolarPlusWindPlusBio,0.061,146187442.29052314,4.1727250333016075e-4
Russian Federation,1995,Gas,353.5442161089271,146383394.20224068,2.415193458490768
Russian Federation,1995,Coal,160.29595861539937,146383394.20224068,1.0950419580648427
Russian Federation,1995,Oil,67.79186578291304,146383394.20224068,0.4631117221482992
Russian Federation,1995,Solar,0,146383394.20224068,0
Russian Federation,1995,Wind,0,146383394.20224068,0
Russian Federation,1995,Hydro,176.2552,146383394.20224068,1.2040655359889318
Russian Federation,1995,Nuclear,99.532,146383394.20224068,0.6799405119851804
Russian Federation,1995,Biomass/Geo,0.059,146383394.20224068,4.030511816011498e-4
Russian Federation,1995,SolarPlusWind,0,146383394.20224068,0
Russian Federation,1995,SolarPlusWindPlusBio,0.059,146383394.20224068,4.030511816011498e-4
Russian Federation,1996,Gas,364.11108149137914,146545459.77368432,2.4846288793504048
Russian Federation,1996,Coal,160.6306059459876,146545459.77368432,1.0961145175978535
Russian Federation,1996,Oil,56.507878685407405,146545459.77368432,0.3855996546919615
Russian Federation,1996,Solar,0,146545459.77368432,0
Russian Federation,1996,Wind,0,146545459.77368432,0
Russian Federation,1996,Hydro,154.309,146545459.77368432,1.0529770095798616
Russian Federation,1996,Nuclear,109.026,146545459.77368432,0.7439739188670393
Russian Federation,1996,Biomass/Geo,0.057,146545459.77368432,3.8895780250051585e-4
Russian Federation,1996,SolarPlusWind,0,146545459.77368432,0
Russian Federation,1996,SolarPlusWindPlusBio,0.057,146545459.77368432,3.8895780250051585e-4
Russian Federation,1997,Gas,356.867557724436,146673639.00485408,2.433072228559255
